,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,10,10,10,20,20,20,29,50,100,199,200,223
Reserves,50,53,70,146,154,193,234,360,378,432,828,"1,449"
Borrowings,121,119,147,177,166,143,151,219,206,455,679,908
Other Liabilities,46,49,60,84,133,146,240,347,424,718,909,987
Total Liabilities,227,232,287,428,473,502,655,976,"1,107","1,805","2,615","3,566"
Fixed Assets,32,34,37,78,98,88,86,88,126,134,260,393
CWIP,-0,0,1,4,0,0,0,0,5,7,5,10
Investments,22,22,26,47,22,20,7,11,11,23,59,178
Other Assets,173,175,222,299,352,395,562,877,965,"1,641","2,292","2,985"
Total Assets,227,232,287,428,473,502,655,976,"1,107","1,805","2,615","3,566"
