,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026,Jun 2026
Sales,311,389,428,509,448,451,455,421,425,440,495,517,515
Expenses,233,295,315,371,322,332,344,358,325,356,393,427,408
Operating Profit,79,94,113,139,126,119,112,63,100,84,102,90,107
OPM %,25%,24%,26%,27%,28%,26%,25%,15%,24%,19%,21%,17%,21%
Other Income,1,2,3,1,2,1,2,4,1,2,1,4,1
Interest,33,35,40,47,51,52,51,53,56,51,57,57,56
Depreciation,7,9,8,8,8,7,7,8,7,7,7,7,5
Profit before tax,40,52,67,85,69,61,56,6,38,28,39,29,47
Tax %,25%,23%,23%,22%,23%,25%,21%,33%,22%,25%,21%,27%,21%
Net Profit,30,40,52,66,53,46,44,4,30,21,31,21,37
EPS in Rs,1.43,1.89,2.47,3.15,2.53,2.16,2.08,0.18,1.42,0.99,1.46,1.01,1.75
Raw PDF,,,,,,,,,,,,,
