,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM
Sales,62,187,134,152,121,132,176,285,393,756,921,"1,119","1,194"
Expenses,36,160,103,113,85,93,134,194,286,531,626,719,773
Operating Profit,26,28,30,39,36,39,41,92,107,225,295,400,421
OPM %,42%,15%,23%,26%,29%,29%,23%,32%,27%,30%,32%,36%,35%
Other Income,-0,0,1,0,0,0,0,1,2,3,1,25,31
Interest,17,19,19,21,20,17,15,15,22,41,66,89,96
Depreciation,2,2,2,3,3,3,3,3,5,7,8,20,24
Profit before tax,6,7,10,16,12,18,23,74,82,181,221,316,333
Tax %,25%,39%,41%,24%,28%,32%,27%,27%,27%,28%,26%,25%,
Net Profit,5,4,6,12,6,12,17,54,60,131,163,238,251
EPS in Rs,1.02,0.86,1.26,1.22,0.59,1.24,1.17,2.69,3.02,6.56,8.15,9.77,10.44
Dividend Payout %,20%,23%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,-0%,
