,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026,TTM
Sales,370,422,526,652,757,780,902,"1,118","1,212","1,642","1,778","1,878","1,967"
Expenses,289,353,429,516,593,659,706,821,941,"1,213","1,355","1,500","1,584"
Operating Profit,81,70,97,136,163,122,196,297,271,429,423,378,383
OPM %,22%,16%,18%,21%,22%,16%,22%,27%,22%,26%,24%,20%,19%
Other Income,5,4,8,-0,3,4,7,3,3,3,6,6,7
Interest,13,18,29,47,64,61,43,58,90,155,207,222,221
Depreciation,11,7,7,9,11,19,18,20,23,32,30,28,27
Profit before tax,63,49,68,79,91,45,143,221,162,244,192,135,143
Tax %,33%,30%,34%,35%,18%,47%,26%,21%,26%,23%,24%,23%,
Net Profit,42,35,45,52,75,24,105,175,120,188,147,103,110
EPS in Rs,1.86,1.52,2.03,2.36,3.30,1.04,4.63,7.71,5.73,8.94,6.96,4.87,5.21
Dividend Payout %,16%,20%,21%,20%,15%,46%,22%,16%,21%,13%,17%,25%,
