level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2464	3488	-1	
2	1	1	0	0	0	72	248	2092	14	-1	
3	1	1	1	0	0	72	248	2092	14	-1	
4	1	1	1	1	0	72	248	2092	14	-1	
5	1	1	1	1	1	72	248	2092	14	95.000000	 
2	1	2	0	0	0	81	269	2046	209	-1	
3	1	2	1	0	0	83	269	539	21	-1	
4	1	2	1	1	0	83	269	539	21	-1	
5	1	2	1	1	1	83	271	116	19	90.732834	NETWEB
5	1	2	1	1	2	207	269	211	20	96.290215	TECHNOLOGIES
5	1	2	1	1	3	427	269	72	18	95.954735	INDIA
5	1	2	1	1	4	509	269	113	18	96.149567	LIMITED
3	1	2	2	0	0	81	279	2046	126	-1	
4	1	2	2	1	0	83	279	2044	58	-1	
5	1	2	2	1	1	83	310	44	17	96.908501	Plot
5	1	2	2	1	2	136	309	35	17	92.659561	No.
5	1	2	2	1	3	182	308	44	20	92.638458	H-1,
5	1	2	2	1	4	236	308	94	20	90.625359	Block-H,
5	1	2	2	1	5	340	307	71	18	96.410934	Pocket
5	1	2	2	1	6	421	307	33	18	96.602905	No.
5	1	2	2	1	7	463	307	17	20	96.652344	9,
5	1	2	2	1	8	490	307	112	18	96.104691	Faridabad
5	1	2	2	1	9	613	306	105	19	95.935776	Industrial
5	1	2	2	1	10	727	306	68	20	93.300537	Town,
5	1	2	2	1	11	804	305	109	21	92.032959	Sector-57,
5	1	2	2	1	12	923	304	120	21	96.581688	Faridabad,
5	1	2	2	1	13	1053	305	93	23	96.656982	Haryana
5	1	2	2	1	14	1157	304	74	18	96.420197	121004
5	1	2	2	1	15	1901	279	226	58	90.720909	Netweb
4	1	2	2	2	0	81	343	2039	29	-1	
5	1	2	2	2	1	81	347	43	17	92.970314	Tel.
5	1	2	2	2	2	135	346	34	18	88.753151	No.
5	1	2	2	2	3	180	351	4	13	88.286163	:
5	1	2	2	2	4	193	345	194	20	88.534927	+91-129-2310400;
5	1	2	2	2	5	396	344	45	18	92.789513	CIN
5	1	2	2	2	6	451	350	4	12	31.115128	:
5	1	2	2	2	7	467	343	296	19	87.881088	L72100HR1999PLC103911
5	1	2	2	2	8	1899	346	221	26	95.813370	TECHNOLOGIES
4	1	2	2	3	0	82	380	879	25	-1	
5	1	2	2	3	1	82	383	89	19	93.017731	Website
5	1	2	2	3	2	181	389	4	12	89.220451	:
5	1	2	2	3	3	195	382	245	20	87.609467	www.netwebindia.com
5	1	2	2	3	4	451	388	4	14	92.804710	;
5	1	2	2	3	5	466	382	69	18	92.074028	E-mail
5	1	2	2	3	6	545	388	3	12	28.517700	:
5	1	2	2	3	7	558	380	403	25	85.984032	complianceofficer@netwebindia.com
3	1	2	3	0	0	81	418	729	25	-1	
4	1	2	3	1	0	81	418	729	25	-1	
5	1	2	3	1	1	81	420	41	23	92.424820	(All
5	1	2	3	1	2	131	423	92	16	93.733215	amounts
5	1	2	3	1	3	232	420	17	18	96.949280	in
5	1	2	3	1	4	261	420	70	19	96.636909	Indian
5	1	2	3	1	5	342	420	77	23	96.690918	Rupees
5	1	2	3	1	6	428	419	17	18	96.560455	in
5	1	2	3	1	7	456	419	88	21	96.799309	millions,
5	1	2	3	1	8	553	420	64	18	96.535347	unless
5	1	2	3	1	9	626	418	103	19	96.967125	otherwise
5	1	2	3	1	10	738	418	72	22	96.357574	stated)
3	1	2	4	0	0	82	454	964	24	-1	
4	1	2	4	1	0	82	454	964	24	-1	
5	1	2	4	1	1	82	457	164	18	96.489143	STATEMENT
5	1	2	4	1	2	255	457	34	18	96.689354	OF
5	1	2	4	1	3	299	456	144	19	96.105644	FINANCIAL
5	1	2	4	1	4	454	456	115	18	96.023392	RESULTS
