,,,,,,,,,,,,SCREENER.IN,
Narration,,,,,,,,,,,Trailing,Best Case,Worst Case
Sales,,,,,,,,,,,,,
Expenses,,,,,,,,,,,,,
Operating Profit,,,,,,,,,,,,,
Other Income,,,,,,,,,,,,0,0
Depreciation,,,,,,,,,,,,,
Interest,,,,,,,,,,,,,
Profit before tax,,,,,,,,,,,,,
Tax,,,,,,,,,,,,,
Net profit,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,
Price to earning,,,,,,,,,,,,,
Price,,,,,,,,,,,,,
RATIOS:,,,,,,,,,,,,,
Dividend Payout,,,,,,,,,,,,,
OPM,,,,,,,,,,,,,
,,,,,,TRENDS:,10 YEARS,7 YEARS,5 YEARS,3 YEARS,RECENT,BEST,WORST
,,,,,,Sales Growth,,,,,,,
,,,,,,OPM,,,,,,,
,,,,,,Price to Earning,,,,,,,
