date,time,group,market cap,category,sector,industry,% change,volume
2026-09-04,15:29,AAREYDRUGS,271.6059,smallcap,healthcare,pharmaceuticals - indian - bulk drugs,1.4295,109417
2026-09-04,15:29,AKI,74.5147,smallcap,consumer discretionary,leather / leather products,9.8934,258805
2026-09-04,15:29,ALMONDZ,342.0895,smallcap,financials,finance & investments,1.3024,302678
2026-09-04,15:29,ANTELOPUS,3365.5651,smallcap,energy,oil drilling / allied services,-5.5413,4816181
2026-09-04,15:29,ASIANHOTNR,1640.3135,smallcap,services,hotels,0.2345,10682
2026-09-04,15:29,AYMSYNTEX,1824.8682,smallcap,textiles,textiles - processing,-2.0646,124761
2026-09-04,15:29,BLKASHYAP,1337.761,smallcap,realty,construction,3.0208,2983058
2026-09-04,15:29,CAPLIPOINT,21365.3675,largecap,healthcare,pharmaceuticals - indian - formulations,-1.2021,208526
2026-09-04,15:29,CARERATING,5225.101,midcap,financials,miscellaneous,1.7443,354155
2026-09-04,15:29,CASTROLIND,18820.0316,midcap,chemicals,chemicals,2.0652,4231930
2026-09-04,15:29,CENTENKA,1330.4824,smallcap,textiles,textiles - manmade,-1.2568,126471
2026-09-04,15:29,CLEAN,8886.8129,midcap,chemicals,chemicals,-1.9696,297191
2026-09-04,15:29,CONFIPET,2740.3241,smallcap,miscellaneous,miscellaneous,-2.1357,2371168
2026-09-04,15:29,CUB,23383.5696,largecap,bank,banks - private sector,0.704,2621193
2026-09-04,15:29,CYIENT,11540.452,midcap,i.t,computers - software - medium / small,-0.8549,327209
2026-09-04,15:29,ELECTCAST,5174.8232,midcap,industrials,castings & forgings,-0.167,1762760
2026-09-04,15:29,ENGINERSIN,15706.2741,midcap,realty,engineering - turnkey services,-0.8867,3490446
2026-09-04,15:29,GEEKAYWIRE,309.4837,smallcap,metals & mining,steel - medium / small,0.7486,127142
2026-09-04,15:29,GLOBAL,613.1086,smallcap,services,miscellaneous,3.5951,570402
2026-09-04,15:29,GODREJAGRO,12404.3325,midcap,fmcg,food - processing - indian,-2.1398,306292
2026-09-04,15:29,HINDCON,122.3456,smallcap,chemicals,chemicals,-1.5651,42853
2026-09-04,15:29,HINDOILEXP,2446.5008,smallcap,energy,oil drilling / allied services,0.3363,1959249
2026-09-04,15:29,ICDSLTD,93.0758,smallcap,miscellaneous,diversified - medium / small,9.9908,53177
2026-09-04,15:29,INDNIPPON,2620.0133,smallcap,auto,auto ancillaries,4.3988,63581
2026-09-04,15:29,INDOCO,2423.0619,smallcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,-3.6873,368891
2026-09-04,15:29,IVC,321.5695,smallcap,financials,finance & investments,1.4866,1022586
2026-09-04,15:29,KHAITANLTD,76.95,smallcap,services,trading,-0.2524,2277
2026-09-04,15:29,KOPRAN,1122.8335,smallcap,healthcare,pharmaceuticals - indian - bulk drugs & formln,0.1292,661197
2026-09-04,15:29,KOTAKBANK,422237.8035,largecap,bank,banks - private sector,0.7954,9408316
2026-09-04,15:29,KPRMILL,40549.3948,largecap,consumer discretionary,textiles - products,0.9273,199902
