date,time,group,high
2026-09-04,15:29,abrasives and grinding wheels,33.3333
2026-09-04,15:29,air-conditioners,20
2026-09-04,15:29,aluminium and aluminium products,12.5
2026-09-04,15:29,aquaculture,0
2026-09-04,15:29,auto ancillaries,46.3768
2026-09-04,15:29,automobiles - lcvs / hcvs,20
2026-09-04,15:29,automobiles - motorcycles / mopeds,50
2026-09-04,15:29,automobiles - passenger cars,0
2026-09-04,15:29,automobiles - scooters and 3 - wheelers,66.6667
2026-09-04,15:29,automobiles - tractors,0
2026-09-04,15:29,banks - private sector,62.963
2026-09-04,15:29,banks - public sector,20
2026-09-04,15:29,bearings,28.5714
2026-09-04,15:29,breweries & distilleries,21.4286
2026-09-04,15:29,cables - power,38.4615
2026-09-04,15:29,cables - telephone,100
2026-09-04,15:29,castings & forgings,40
2026-09-04,15:29,cement - north india,6.6667
2026-09-04,15:29,cement - south india,0
2026-09-04,15:29,cement products,33.3333
2026-09-04,15:29,ceramics - tiles / sanitaryware,50
2026-09-04,15:29,chemicals,36.2637
2026-09-04,15:29,chlor alkali / soda ash,50
2026-09-04,15:29,cigarettes,0
2026-09-04,15:29,compressors / drilling equipment,66.6667
2026-09-04,15:29,computers - education,0
2026-09-04,15:29,computers - hardware,50
2026-09-04,15:29,computers - software - large,27.2727
2026-09-04,15:29,computers - software - medium / small,6.383
2026-09-04,15:29,construction,16.6667
2026-09-04,15:29,couriers,0
2026-09-04,15:29,diamond cutting / jewellery,36.3636
2026-09-04,15:29,diversified - large,42.8571
2026-09-04,15:29,diversified - medium / small,33.3333
2026-09-04,15:29,diversified - mega,0
2026-09-04,15:29,domestic appliances,16.6667
2026-09-04,15:29,dry cells,0
2026-09-04,15:29,dyes and pigments,35.7143
2026-09-04,15:29,electric equipment,24.1379
2026-09-04,15:29,electrodes - graphites,66.6667
2026-09-04,15:29,electrodes - welding equipment,66.6667
2026-09-04,15:29,electronics - components,42.8571
2026-09-04,15:29,electronics - consumer,0
2026-09-04,15:29,engineering,39.3939
2026-09-04,15:29,engineering - turnkey services,11.4286
2026-09-04,15:29,engines,0
2026-09-04,15:29,entertainment / electronic media software,22.7273
2026-09-04,15:29,fasteners,0
2026-09-04,15:29,fertilizers,13.3333
2026-09-04,15:29,finance & investments,22.0126
2026-09-04,15:29,finance - housing,21.4286
2026-09-04,15:29,finance - term-lending institutions,28.5714
2026-09-04,15:29,food - processing - indian,29.4118
2026-09-04,15:29,food - processing - mnc,33.3333
2026-09-04,15:29,glass & glass products,0
2026-09-04,15:29,healthcare,42.4242
2026-09-04,15:29,hotels,14.6341
2026-09-04,15:29,leather / leather products,9.0909
2026-09-04,15:29,mining / minerals / metals,15.625
2026-09-04,15:29,miscellaneous,29.0909
2026-09-04,15:29,moulded luggage,0
2026-09-04,15:29,oil drilling / allied services,72.7273
2026-09-04,15:29,packaging,44.8276
2026-09-04,15:29,paints / varnishes,14.2857
2026-09-04,15:29,paper,33.3333
2026-09-04,15:29,personal care - indian,14.2857
2026-09-04,15:29,personal care - multinational,0
2026-09-04,15:29,pesticides / agrochemicals - indian,0
2026-09-04,15:29,pesticides / agrochemicals - multinational,0
2026-09-04,15:29,petrochemicals,45.4545
2026-09-04,15:29,pharmaceuticals - indian - bulk drugs,28.5714
2026-09-04,15:29,pharmaceuticals - indian - bulk drugs & formln,46.9697
2026-09-04,15:29,pharmaceuticals - indian - formulations,57.8947
2026-09-04,15:29,pharmaceuticals - multinational,25
2026-09-04,15:29,photographic and allied products,100
2026-09-04,15:29,plastics products,33.3333
2026-09-04,15:29,power generation and supply,4.7619
2026-09-04,15:29,printing & stationery,0
2026-09-04,15:29,pumps,0
2026-09-04,15:29,recreation / amusement parks,33.3333
2026-09-04,15:29,refineries,25
2026-09-04,15:29,refractories / intermediates,20
2026-09-04,15:29,shipping,20
2026-09-04,15:29,solvent extraction,37.5
2026-09-04,15:29,steel - large,46.6667
2026-09-04,15:29,steel - medium / small,30.3571
2026-09-04,15:29,steel - sponge iron,33.3333
2026-09-04,15:29,sugar,35
2026-09-04,15:29,tea,7.6923
2026-09-04,15:29,telecommunications - equipment,50
2026-09-04,15:29,telecommunications - service provider,10
2026-09-04,15:29,textile machinery,50
2026-09-04,15:29,textiles - composite,33.3333
2026-09-04,15:29,textiles - cotton/blended,41.6667
2026-09-04,15:29,textiles - jute - yarn / products,0
2026-09-04,15:29,textiles - manmade,50
2026-09-04,15:29,textiles - processing,11.1111
2026-09-04,15:29,textiles - products,22.5
2026-09-04,15:29,textiles - spinning - synthetic / blended,62.5
2026-09-04,15:29,trading,21.1111
2026-09-04,15:29,transmisson line towers / equipment,14.2857
2026-09-04,15:29,transport - airlines,33.3333
2026-09-04,15:29,travel agencies,16.6667
2026-09-04,15:29,tyres,12.5
